,허가번호,경도,위도,"주파수 대역
(MHz)",구분
3710,322020110064605,127.021817,127.175308,2600,기지국
3817,322023110041106,127.016233,127.175308,2600,기지국
3824,322023110041586,127.016383,127.175308,2600,기지국
3842,322024110029166,127.023661,127.175308,2600,기지국
3971,322014110004507,126.969911,127.175308,2600,기지국
3972,322014110004514,126.968417,127.175308,2600,기지국
3973,322014110004532,126.973033,127.175308,2600,기지국
3974,322014110005494,126.970047,127.175308,2600,기지국
3975,322014110006632,126.972717,127.175308,2600,기지국
3976,322014110006703,126.967064,127.175308,2600,기지국
3989,322014110066017,126.967503,127.175308,2600,기지국
3990,322014110066861,126.970617,127.175308,2600,기지국
3995,322015110019358,126.969953,127.175308,2600,기지국
3998,322015110038480,126.972425,127.175308,2600,기지국
4008,322016110031064,126.972208,127.175308,2600,기지국
4009,322016110044357,126.970808,127.175308,2600,기지국
4010,322016110044361,126.973033,127.175308,2600,기지국
4011,322016110045331,126.967064,127.175308,2600,기지국
4027,322016110080978,126.970636,127.175308,2600,기지국
4029,322016110084362,126.970053,127.175308,2600,기지국
4030,322016110084468,126.972353,127.175308,2600,기지국
4031,322016110084469,126.972353,127.175308,2600,기지국
4032,322016110086124,126.972072,127.175308,2600,기지국
4036,322017110015085,126.967744,127.175308,2600,기지국
4037,322017110015308,126.972425,127.175308,2600,기지국
4046,322017110063242,126.968714,127.175308,2600,기지국
4053,322018110009745,126.972786,127.175308,2600,기지국
4054,322018110009746,126.972786,127.175308,2600,기지국
4118,322022110004591,126.9669,127.175308,2600,기지국
4129,322022110030426,126.972014,127.175308,2600,기지국
4137,322022110054601,126.970317,127.175308,2600,기지국
4153,322024110035810,126.968286,127.175308,2600,기지국
4155,322024110038703,126.968297,127.175308,2600,기지국
4160,322025110017205,126.971239,127.175308,2600,기지국
4171,322025110020424,126.974831,127.175308,2600,기지국
4172,322025110020425,126.974831,127.175308,2600,기지국
4173,322025110020426,126.974831,127.175308,2600,기지국
4189,322025110023931,126.974831,127.175308,2600,기지국
4190,322025110023932,126.974831,127.175308,2600,기지국
4208,322025110032505,126.974831,127.175308,2600,기지국
4324,322014110005211,126.978375,127.175308,2600,기지국
4325,322014110005527,126.981661,127.175308,2600,기지국
4326,322014110005528,126.981231,127.175308,2600,기지국
4327,322014110005716,126.977092,127.175308,2600,기지국
4328,322014110005717,126.975861,127.175308,2600,기지국
4329,322014110005718,126.974589,127.175308,2600,기지국
4330,322014110006874,126.979975,127.175308,2600,기지국
4331,322014110006875,126.981722,127.175308,2600,기지국
4332,322014110006876,126.978975,127.175308,2600,기지국
4333,322014110006882,126.978903,127.175308,2600,기지국
4334,322014110006914,126.979983,127.175308,2600,기지국
4335,322014110007276,126.977022,127.175308,2600,기지국
4342,322014110019424,126.976806,127.175308,2600,기지국
4343,322014110019425,126.978506,127.175308,2600,기지국
4353,322014110030792,126.978225,127.175308,2600,기지국
4383,322014110066061,126.978972,127.175308,2600,기지국
4386,322014110069029,126.975608,127.175308,2600,기지국
4415,322015110000939,126.982953,127.175308,2600,기지국
4416,322015110001064,126.97825,127.175308,2600,기지국
4417,322015110001065,126.977664,127.175308,2600,기지국
4420,322015110003451,126.983053,127.175308,2600,기지국
4421,322015110003664,126.980572,127.175308,2600,기지국
4422,322015110003672,126.975442,127.175308,2600,기지국
4423,322015110005920,126.976222,127.175308,2600,기지국
4425,322015110015600,126.979581,127.175308,2600,기지국
4430,322015110018895,126.981875,127.175308,2600,기지국
4431,322015110018901,126.976222,127.175308,2600,기지국
4438,322015110027123,126.976267,127.175308,2600,기지국
4441,322015110033546,126.975139,127.175308,2600,기지국
4442,322015110033566,126.981542,127.175308,2600,기지국
4447,322015110035097,126.981169,127.175308,2600,기지국
4448,322015110037251,126.975594,127.175308,2600,기지국
4449,322015110038481,126.977739,127.175308,2600,기지국
4454,322015110058002,126.982503,127.175308,2600,기지국
4455,322015110058156,126.978964,127.175308,2600,기지국
4457,322015110058253,126.981169,127.175308,2600,기지국
4472,322015110071681,126.979164,127.175308,2600,기지국
4473,322015110071682,126.981578,127.175308,2600,기지국
4476,322015110077589,126.982378,127.175308,2600,기지국
4496,322016110012407,126.981661,127.175308,2600,기지국
4511,322016110026807,126.976644,127.175308,2600,기지국
4512,322016110026926,126.976978,127.175308,2600,기지국
4513,322016110026927,126.978633,127.175308,2600,기지국
4516,322016110030747,126.979844,127.175308,2600,기지국
4517,322016110031504,126.976953,127.175308,2600,기지국
4519,322016110033686,126.977747,127.175308,2600,기지국
4520,322016110033705,126.983617,127.175308,2600,기지국
4521,322016110034099,126.977739,127.175308,2600,기지국
4522,322016110034121,126.981678,127.175308,2600,기지국
4523,322016110034756,126.975942,127.175308,2600,기지국
4524,322016110035404,126.978497,127.175308,2600,기지국
4525,322016110035417,126.97575,127.175308,2600,기지국
4527,322016110037852,126.982167,127.175308,2600,기지국
4529,322016110042077,126.979408,127.175308,2600,기지국
4530,322016110042345,126.977022,127.175308,2600,기지국
4531,322016110042346,126.977022,127.175308,2600,기지국
4532,322016110043596,126.978903,127.175308,2600,기지국
4533,322016110043597,126.978903,127.175308,2600,기지국
4534,322016110043599,126.981983,127.175308,2600,기지국
4535,322016110044816,126.982167,127.175308,2600,기지국
4540,322016110046724,126.978944,127.175308,2600,기지국
4559,322016110054241,126.979847,127.175308,2600,기지국
4584,322016110078002,126.980967,127.175308,2600,기지국
4585,322016110078003,126.980967,127.175308,2600,기지국
4586,322016110078004,126.980967,127.175308,2600,기지국
4587,322016110078005,126.980967,127.175308,2600,기지국
4588,322016110078006,126.980967,127.175308,2600,기지국
4589,322016110078007,126.980967,127.175308,2600,기지국
4590,322016110078008,126.980967,127.175308,2600,기지국
4591,322016110078009,126.980967,127.175308,2600,기지국
4592,322016110078010,126.980967,127.175308,2600,기지국
4593,322016110078061,126.975953,127.175308,2600,기지국
4594,322016110078062,126.975953,127.175308,2600,기지국
